curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
ADMINISTRAÇÃO - Bach - Noturno,735.13,673.08,749.45,716.56,646.18,740.63,691.75,612.79,716.19,691.55,632.41,737.75,657.2,593.58,673.4
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,737.43,626.01,771.19,725.85,586.45,714.06,673.15,639.84,701.35,695.28,593.06,702.14,666.79,640.53,687.36
CIÊNCIAS BIOLÓGICAS - Bach - Integral,715.18,512.8,735.25,706.26,524.79,670.66,680.23,688.44,688.44,678.23,693.91,699.65,647.7,614.41,647.7
CIÊNCIAS BIOLÓGICAS - Lic - Integral,682.94,494.04,690.18,661.91,607.48,664.46,625.21,510.26,606.86,650.26,502.21,650.71,618.58,486.85,606.73
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,671.9,526.6,701.99,693.66,596.31,693.66,648.88,440.05,663.98,651.8,655.26,655.26,632.05,488.68,640.54
CIÊNCIAS ECONÔMICAS - Bach - Integral,741.88,622.54,759.79,735.66,604.93,713.56,685.67,611.32,723.34,686.63,564.34,672.77,670.62,563.59,684.44
ENGENHARIA DE PRODUÇÃO - Bach - Integral,773.95,713.28,790.6,754.18,691.33,764.14,710.91,613,721.98,719.28,686.6,734.99,687.76,617.95,701.89
ENGENHARIA FLORESTAL - Bach - Integral,720.62,641.09,748.41,693.97,586.26,693.96,660.94,588.02,661.79,677.44,611.19,703.07,648.64,631.9,631.9
FÍSICA - Lic - Noturno,691.29,470.95,664.83,684.39,405.63,676.02,660.7,486.01,580.06,670.32,630.27,630.27,652.21,658.12,658.12
GEOGRAFIA - Lic - Noturno,674.23,542.2,721.81,662.49,561.63,704.15,636.15,496.19,729.86,662.7,394.2,662.93,626.99,-,-
MATEMÁTICA - Lic - Noturno,711.86,596.95,725.4,703,661.93,721.09,674.76,579.05,598.61,667.05,601.83,646.5,663.35,640,640
PEDAGOGIA - Lic - Noturno,659.54,472.31,728.45,665.91,483.63,668.03,632.64,528.98,651.7,644.75,497.7,680.39,622.79,510.43,624.01
QUÍMICA - Lic - Noturno,687.93,598.61,699.64,691.8,638.78,683.72,662.59,639.71,642.62,666.37,549.93,667.69,639.93,569.19,595.19
TURISMO - Bach - Integral,680.36,479.52,702.93,669.73,434.76,676.04,642.7,503.37,652.47,639.68,507.64,708.38,622.8,513.41,622.8